,ax,ay,az,gx,gy,gz,label,segment_ID,animal_ID,timestamp_ms
100,-5.82712,7.45162,-2.89439,101.402,-234.146,8.65854,walking,1,fG1,1001
101,-3.76654,7.19525,-2.43436,132.134,-218.963,16.9512,walking,1,fG1,1011
102,-2.81532,7.29109,-2.85126,141.524,-192.439,17.9268,walking,1,fG1,1021
103,-2.68594,8.33815,-3.87197,135.976,-175.183,13.8415,walking,1,fG1,1031
104,-3.08128,9.81889,-5.4773,118.72,-175.366,8.53659,walking,1,fG1,1041
105,-3.09566,11.0792,-6.9844,100.305,-182.683,6.34146,walking,1,fG1,1051
106,-2.21392,11.4841,-7.27671,85.5488,-167.683,7.80488,walking,1,fG1,1061
107,-1.31302,10.588,-6.6226,61.8293,-127.195,13.5366,walking,1,fG1,1071
108,-1.36573,8.90601,-5.25447,34.8171,-84.5122,21.0976,walking,1,fG1,1081
109,-2.08454,7.31984,-3.62518,22.561,-62.561,26.6463,walking,1,fG1,1091
110,-2.69313,6.5651,-2.65479,31.4024,-61.4634,27.8049,walking,1,fG1,1101
111,-2.8872,6.93648,-2.79855,50.4268,-61.7683,24.3902,walking,1,fG1,1111
112,-3.03097,8.10574,-3.68508,60.9756,-49.3293,19.2683,walking,1,fG1,1121
113,-3.38318,9.07133,-4.59317,60.3049,-27.0732,14.7561,walking,1,fG1,1131
114,-3.733,9.46428,-4.76568,55.4268,-4.45122,11.7683,walking,1,fG1,1141
115,-3.9151,9.21509,-4.50212,51.1585,15.0,9.81707,walking,1,fG1,1151
116,-4.02531,8.54421,-4.06365,49.4512,29.2683,8.96341,walking,1,fG1,1161
117,-4.02531,7.91406,-3.61799,47.3171,38.4756,9.14634,walking,1,fG1,1171
118,-4.14512,7.51152,-3.32807,44.6341,43.0488,10.7317,walking,1,fG1,1181
119,-4.35836,7.40131,-3.26338,41.4024,41.9512,13.1707,walking,1,fG1,1191
120,-4.62672,7.48756,-3.30651,36.5854,37.8049,16.4634,walking,1,fG1,1201
121,-4.88069,7.67445,-3.32807,33.4146,34.4512,20.1829,walking,1,fG1,1211
122,-5.10592,7.82301,-3.16754,35.0,32.3171,24.6951,walking,1,fG1,1221
123,-5.03404,8.22075,-2.79855,41.9512,25.6707,32.378,walking,1,fG1,1231
124,-4.65786,8.84371,-2.29299,50.3049,10.9756,45.7317,walking,1,fG1,1241
125,-4.29606,9.64638,-1.69399,52.9268,-12.0122,64.2683,walking,1,fG1,1251
126,-4.35117,10.2238,-1.39448,46.4024,-39.6341,84.2073,walking,1,fG1,1261
127,-4.70339,10.3532,-1.4472,35.1829,-61.7683,99.3902,walking,1,fG1,1271
128,-5.058,9.86202,-1.29146,24.2683,-70.3049,105.732,walking,1,fG1,1281
129,-5.22093,8.88924,-1.09498,24.5122,-66.5244,102.134,walking,1,fG1,1291
130,-5.1155,8.16803,-1.18603,35.9756,-58.8415,92.1951,walking,1,fG1,1301
131,-4.90705,7.84218,-2.13006,39.2073,-48.4146,80.122,walking,1,fG1,1311
132,-4.77048,7.56903,-3.23223,32.9268,-34.3293,67.6829,walking,1,fG1,1321
133,-4.73214,7.12097,-3.55809,19.8171,-23.3537,56.1585,walking,1,fG1,1331
